prediction,x,y
0.1496099936979294,88,41
0.13483994984145561,85,52
0.0346828259379989,81,33
0.013421506506862692,75,30
0.15375512476837797,90,39
0.00953558643188003,69,36
0.12655708632331988,86,58
0.0706047498657097,90,32
0.016301549955943215,73,36
0.4080865422634411,94,54
0.0174375646085698,72,40
0.1782063440068813,87,48
0.3556546361592205,92,50
0.012488056334620645,71,64
0.027627499835393424,75,59
0.04148346912098925,77,55
0.07519067651595754,91,68
0.019758417632940627,72,56
0.17636701562126994,87,47
0.03264125384464853,86,72
0.005699116624872826,66,66
0.09013284302327892,92,33
0.014328280186989515,73,66
0.011377749084590725,68,54
0.16266182195658574,94,63
0.08958129285834684,90,34
0.02161505007744782,73,58
0.1150482307086501,89,37
0.02115729081508932,80,29
0.2879048419512177,92,56
0.26531646636455075,93,42
0.03647208551311417,77,41
0.01907390814077346,79,29
0.046001981835404784,80,38
0.06404520300821455,86,34
0.021992644128360245,74,39
0.1816378588277154,88,44
0.16706267188896318,87,55
0.1782063440068813,87,48
0.012595610456219401,72,66
0.016255031618119312,71,58
0.024623597911728443,78,67
0.0076093426109107585,75,76
0.1782063440068813,87,52
0.025935022442757145,81,30
0.026588835520614175,91,24
0.027527213370993397,74,47
0.018471582069175728,75,34
0.04307312833651787,79,39
0.02405985315387068,89,24
0.010350915606750055,71,33
0.009199218325451472,78,23
0.10327729245232363,84,43
0.007587571581501534,76,23
0.1150482307086501,89,37
0.27034915895299455,90,51
0.042803528577619494,77,49
0.07339482363428555,81,55
0.20078177546659529,90,42
0.14630897129510884,86,55
0.17171594489745468,88,43
0.06276943411293086,81,59
0.015064734570730478,76,30
0.07091822392129997,86,35
0.08501732397138337,91,67
0.04472694576063724,87,30
0.038665982489521356,82,33
0.004922121850533025,68,28
0.2225267428932615,96,61
0.027711548078101875,84,28
0.3094647654125513,91,49
0.0981236489481772,85,60
0.13397314758737486,86,57
0.09712810332337843,83,45
0.02251323255368995,76,65
0.0429680964259059,83,67
0.01725235800860253,79,72
0.08157422336389387,83,59
0.02267020845633665,83,73
0.022718860257535372,88,24
0.04127441150362573,86,30
0.019825762103560553,75,35
0.07004356088974423,92,31
0.11404437801201206,87,61
0.11404437801201206,87,61
0.06851307981552797,88,67
0.02552543668799497,77,35
0.05172533448711648,89,70
0.02762789715738374,74,51
0.020209307319434926,83,26
0.013191484205635956,71,37
0.03963548136571691,91,27
0.031983012301284974,75,50
0.14530906922931677,92,37
0.023119286447807908,79,31
0.018861068839395936,78,70
0.024623597911728443,78,67
0.15510636190212207,86,52
0.07962641565196349,90,33
0.05763730135591912,86,67
0.06300283320947893,87,33
0.08807352814851119,82,52
0.03384061032398059,85,29
0.026788651239660757,85,27
0.07408700150965251,89,33
0.029640137438282563,75,43
0.07962641565196349,90,67
0.05172533448711648,89,30
0.1609151814304435,88,42
0.08350984120827609,93,32
0.013876872343675404,71,38
0.029308624997791435,77,63
0.06300283320947893,87,33
0.08825352154893934,82,51
0.02729091489540279,74,46
0.05248035482371536,85,33
0.011461605664194697,77,26
0.020555763120758647,72,53
0.01776075694799489,71,47
0.031974149283588583,75,51
0.16266182195658574,94,37
0.23648910306518012,89,50
0.019754779047943007,74,63
0.45116227992536284,94,48
0.06404520300821455,86,34
0.12947406018919633,92,36
0.2020236554751272,88,47
0.031974149283588583,75,51
0.050505352065176486,82,36
0.2225267428932615,96,39
0.10050443224662368,90,35
0.1802451693892423,89,58
0.3155574836282343,94,43
0.016437905036590036,76,31
0.41242182176631037,95,45
0.16680191703631334,89,41
0.09483792642488155,93,33
0.028325453919542446,80,32
0.04950693958225128,78,49
0.15073734760656837,86,46
0.025617961845354774,86,74
0.04952661582415007,78,50
0.3431088835201566,93,55
0.16759932069627917,91,61
0.09591240695367824,91,66
0.07643358275446079,81,49
0.013822540418995492,80,25
0.007151889361424307,79,20
0.10750154940675903,93,66
